origem,destino,tipo_conexao,justificativa,peso
SBBR,SBFZ,interregional,voo de Centro-Oeste para Nordeste com 168 operações em jan/2026,0.1949
SBBR,SBGL,interregional,voo de Centro-Oeste para Sudeste com 194 operações em jan/2026,0.1896
SBBR,SBGO,intrarregional,voo dentro da região Centro-Oeste com 128 operações em jan/2026,0.2058
SBBR,SBGR,interregional,voo de Centro-Oeste para Sudeste com 393 operações em jan/2026,0.1673
SBBR,SBIL,interregional,voo de Centro-Oeste para Nordeste com 1 operação em jan/2026,1.4427
SBBR,SBIZ,interregional,voo de Centro-Oeste para Nordeste com 31 operações em jan/2026,0.2885
SBBR,SBJD,interregional,voo de Centro-Oeste para Sudeste com 1 operação em jan/2026,1.4427
SBBR,SBJP,interregional,voo de Centro-Oeste para Nordeste com 123 operações em jan/2026,0.2075
SBBR,SBKP,interregional,voo de Centro-Oeste para Sudeste com 270 operações em jan/2026,0.1785
SBBR,SBMA,interregional,voo de Centro-Oeste para Norte com 63 operações em jan/2026,0.2404
SBBR,SBMO,interregional,voo de Centro-Oeste para Nordeste com 123 operações em jan/2026,0.2075
SBBR,SBMQ,interregional,voo de Centro-Oeste para Norte com 31 operações em jan/2026,0.2885
SBBR,SBPA,interregional,voo de Centro-Oeste para Sul com 153 operações em jan/2026,0.1985
SBBR,SBPJ,interregional,voo de Centro-Oeste para Norte com 64 operações em jan/2026,0.2396
SBBR,SBPS,interregional,voo de Centro-Oeste para Nordeste com 70 operações em jan/2026,0.2346
SBBR,SBPV,interregional,voo de Centro-Oeste para Norte com 62 operações em jan/2026,0.2414
SBBR,SBRB,interregional,voo de Centro-Oeste para Norte com 63 operações em jan/2026,0.2404
SBBR,SBRF,interregional,voo de Centro-Oeste para Nordeste com 263 operações em jan/2026,0.1793
SBBR,SBRJ,interregional,voo de Centro-Oeste para Sudeste com 376 operações em jan/2026,0.1686
SBBR,SBSG,interregional,voo de Centro-Oeste para Nordeste com 93 operações em jan/2026,0.2201
SBBR,SBSI,intrarregional,voo dentro da região Centro-Oeste com 31 operações em jan/2026,0.2885
SBBR,SBSL,interregional,voo de Centro-Oeste para Nordeste com 76 operações em jan/2026,0.2302
SBBR,SBSN,interregional,voo de Centro-Oeste para Norte com 31 operações em jan/2026,0.2885
SBBR,SBSP,interregional,voo de Centro-Oeste para Sudeste com 568 operações em jan/2026,0.1576
SBBR,SBSV,interregional,voo de Centro-Oeste para Nordeste com 199 operações em jan/2026,0.1887
SBBR,SBTE,interregional,voo de Centro-Oeste para Nordeste com 93 operações em jan/2026,0.2201
SBBR,SBVT,interregional,voo de Centro-Oeste para Sudeste com 93 operações em jan/2026,0.2201
SBBV,SBBR,interregional,voo de Norte para Centro-Oeste com 54 operações em jan/2026,0.2495
SBBV,SBCT,interregional,voo de Norte para Sul com 1 operação em jan/2026,1.4427
SBBV,SBCY,interregional,voo de Norte para Centro-Oeste com 1 operação em jan/2026,1.4427
SBBV,SBEG,intrarregional,voo dentro da região Norte com 32 operações em jan/2026,0.286
SBBV,SBGR,interregional,voo de Norte para Sudeste com 9 operações em jan/2026,0.4343
SBBV,SBPJ,intrarregional,voo dentro da região Norte com 1 operação em jan/2026,1.4427
SBBW,SBCY,intrarregional,voo dentro da região Centro-Oeste com 13 operações em jan/2026,0.3789
SBBZ,SBJD,intrarregional,voo dentro da região Sudeste com 1 operação em jan/2026,1.4427
SBCA,SBCT,intrarregional,voo dentro da região Sul com 32 operações em jan/2026,0.286
SBCA,SBGR,interregional,voo de Sul para Sudeste com 66 operações em jan/2026,0.2378
SBCA,SBJP,interregional,voo de Sul para Nordeste com 5 operações em jan/2026,0.5581
SBCA,SBKP,interregional,voo de Sul para Sudeste com 58 operações em jan/2026,0.2452
SBCA,SBMO,interregional,voo de Sul para Nordeste com 9 operações em jan/2026,0.4343
SBCA,SBPS,interregional,voo de Sul para Nordeste com 4 operações em jan/2026,0.6213
SBCF,SBAR,interregional,voo de Sudeste para Nordeste com 33 operações em jan/2026,0.2836
SBCF,SBAX,intrarregional,voo dentro da região Sudeste com 15 operações em jan/2026,0.3607
SBCF,SBBE,interregional,voo de Sudeste para Norte com 81 operações em jan/2026,0.2269
SBCF,SBBH,intrarregional,voo dentro da região Sudeste com 3 operações em jan/2026,0.7213
SBCF,SBBR,interregional,voo de Sudeste para Centro-Oeste com 244 operações em jan/2026,0.1818
SBCF,SBCJ,interregional,voo de Sudeste para Norte com 64 operações em jan/2026,0.2396
SBCF,SBCT,interregional,voo de Sudeste para Sul com 71 operações em jan/2026,0.2338
SBCF,SBCY,interregional,voo de Sudeste para Centro-Oeste com 54 operações em jan/2026,0.2495
SBCF,SBEG,interregional,voo de Sudeste para Norte com 64 operações em jan/2026,0.2396
SBCF,SBFI,interregional,voo de Sudeste para Sul com 14 operações em jan/2026,0.3693
SBCF,SBFL,interregional,voo de Sudeste para Sul com 58 operações em jan/2026,0.2452
SBCF,SBFZ,interregional,voo de Sudeste para Nordeste com 81 operações em jan/2026,0.2269
SBCF,SBGL,intrarregional,voo dentro da região Sudeste com 211 operações em jan/2026,0.1867
SBCF,SBGO,interregional,voo de Sudeste para Centro-Oeste com 101 operações em jan/2026,0.2162
SBCF,SBGR,intrarregional,voo dentro da região Sudeste com 425 operações em jan/2026,0.1652
SBCF,SBGV,intrarregional,voo dentro da região Sudeste com 56 operações em jan/2026,0.2473
SBCF,SBIL,interregional,voo de Sudeste para Nordeste com 48 operações em jan/2026,0.2569
SBCF,SBIP,intrarregional,voo dentro da região Sudeste com 115 operações em jan/2026,0.2104
SBCF,SBIZ,interregional,voo de Sudeste para Nordeste com 18 operações em jan/2026,0.3396
SBCF,SBJE,interregional,voo de Sudeste para Nordeste com 18 operações em jan/2026,0.3396
SBCF,SBJP,interregional,voo de Sudeste para Nordeste com 53 operações em jan/2026,0.2507
SBCF,SBJR,intrarregional,voo dentro da região Sudeste com 26 operações em jan/2026,0.3034
SBCF,SBKG,interregional,voo de Sudeste para Nordeste com 13 operações em jan/2026,0.3789
SBCF,SBKP,intrarregional,voo dentro da região Sudeste com 217 operações em jan/2026,0.1857
SBCF,SBMA,interregional,voo de Sudeste para Norte com 18 operações em jan/2026,0.3396
SBCF,SBMK,intrarregional,voo dentro da região Sudeste com 89 operações em jan/2026,0.2222
SBCF,SBMO,interregional,voo de Sudeste para Nordeste com 92 operações em jan/2026,0.2206
SBCF,SBMQ,interregional,voo de Sudeste para Norte com 1 operação em jan/2026,1.4427
SBCF,SBNF,interregional,voo de Sudeste para Sul com 8 operações em jan/2026,0.4551
SBCF,SBPA,interregional,voo de Sudeste para Sul com 139 operações em jan/2026,0.2024
SBCF,SBPJ,interregional,voo de Sudeste para Norte com 14 operações em jan/2026,0.3693
SBCF,SBPS,interregional,voo de Sudeste para Nordeste com 214 operações em jan/2026,0.1862
SBCF,SBPV,interregional,voo de Sudeste para Norte com 14 operações em jan/2026,0.3693
SBCF,SBRB,interregional,voo de Sudeste para Norte com 17 operações em jan/2026,0.346
SBCF,SBRF,interregional,voo de Sudeste para Nordeste com 218 operações em jan/2026,0.1856
SBCF,SBRJ,intrarregional,voo dentro da região Sudeste com 182 operações em jan/2026,0.192
SBCF,SBRP,intrarregional,voo dentro da região Sudeste com 31 operações em jan/2026,0.2885
SBCF,SBSG,interregional,voo de Sudeste para Nordeste com 58 operações em jan/2026,0.2452
SBCF,SBSL,interregional,voo de Sudeste para Nordeste com 31 operações em jan/2026,0.2885
SBCF,SBSP,intrarregional,voo dentro da região Sudeste com 592 operações em jan/2026,0.1566
SBCF,SBSR,intrarregional,voo dentro da região Sudeste com 27 operações em jan/2026,0.3001
SBCF,SBSV,interregional,voo de Sudeste para Nordeste com 204 operações em jan/2026,0.1879
SBCF,SBTC,interregional,voo de Sudeste para Nordeste com 4 operações em jan/2026,0.6213
SBCF,SBTE,interregional,voo de Sudeste para Nordeste com 31 operações em jan/2026,0.2885
SBCF,SBUL,intrarregional,voo dentro da região Sudeste com 115 operações em jan/2026,0.2104
SBCF,SBUR,intrarregional,voo dentro da região Sudeste com 31 operações em jan/2026,0.2885
SBCF,SBVC,interregional,voo de Sudeste para Nordeste com 39 operações em jan/2026,0.2711
SBCF,SBVG,intrarregional,voo dentro da região Sudeste com 14 operações em jan/2026,0.3693
SBCF,SBVT,intrarregional,voo dentro da região Sudeste com 115 operações em jan/2026,0.2104
SBCF,SNBR,interregional,voo de Sudeste para Nordeste com 31 operações em jan/2026,0.2885
SBCF,SNDV,intrarregional,voo dentro da região Sudeste com 22 operações em jan/2026,0.3189
SBCF,SNGI,interregional,voo de Sudeste para Nordeste com 17 operações em jan/2026,0.346
SBCF,SNJM,intrarregional,voo dentro da região Sudeste com 14 operações em jan/2026,0.3693
SBCF,SNLN,intrarregional,voo dentro da região Sudeste com 13 operações em jan/2026,0.3789
SBCF,SNPD,intrarregional,voo dentro da região Sudeste com 13 operações em jan/2026,0.3789
SBCF,SNSS,intrarregional,voo dentro da região Sudeste com 13 operações em jan/2026,0.3789
SBCF,SNTO,intrarregional,voo dentro da região Sudeste com 13 operações em jan/2026,0.3789
SBCF,SNZR,intrarregional,voo dentro da região Sudeste com 13 operações em jan/2026,0.3789
SBCG,SBBR,intrarregional,voo dentro da região Centro-Oeste com 61 operações em jan/2026,0.2423
SBCG,SBCT,interregional,voo de Centro-Oeste para Sul com 1 operação em jan/2026,1.4427
SBCG,SBCY,intrarregional,voo dentro da região Centro-Oeste com 1 operação em jan/2026,1.4427
SBCG,SBGR,interregional,voo de Centro-Oeste para Sudeste com 197 operações em jan/2026,0.1891
SBCG,SBKP,interregional,voo de Centro-Oeste para Sudeste com 83 operações em jan/2026,0.2257
SBCG,SBRP,interregional,voo de Centro-Oeste para Sudeste com 1 operação em jan/2026,1.4427
SBCG,SBSP,interregional,voo de Centro-Oeste para Sudeste com 75 operações em jan/2026,0.2309
SBCH,SBCT,intrarregional,voo dentro da região Sul com 1 operação em jan/2026,1.4427
SBCH,SBFL,intrarregional,voo dentro da região Sul com 43 operações em jan/2026,0.2643
SBCH,SBGL,interregional,voo de Sul para Sudeste com 1 operação em jan/2026,1.4427
SBCH,SBGR,interregional,voo de Sul para Sudeste com 121 operações em jan/2026,0.2082
SBCH,SBKP,interregional,voo de Sul para Sudeste com 32 operações em jan/2026,0.286
SBCH,SBSP,interregional,voo de Sul para Sudeste com 26 operações em jan/2026,0.3034
SBCJ,SBBE,intrarregional,voo dentro da região Norte com 35 operações em jan/2026,0.2791
SBCJ,SBCF,interregional,voo de Norte para Sudeste com 64 operações em jan/2026,0.2396
SBCJ,SBSL,interregional,voo de Norte para Nordeste com 6 operações em jan/2026,0.5139
SBCJ,SDOW,intrarregional,voo dentro da região Norte com 4 operações em jan/2026,0.6213
SBCN,SBSP,interregional,voo de Centro-Oeste para Sudeste com 16 operações em jan/2026,0.353
SBCT,SBBR,interregional,voo de Sul para Centro-Oeste com 123 operações em jan/2026,0.2075
SBCT,SBCA,intrarregional,voo dentro da região Sul com 30 operações em jan/2026,0.2912
SBCT,SBCF,interregional,voo de Sul para Sudeste com 70 operações em jan/2026,0.2346
SBCT,SBFI,intrarregional,voo dentro da região Sul com 114 operações em jan/2026,0.2108
SBCT,SBFL,intrarregional,voo dentro da região Sul com 1 operação em jan/2026,1.4427
SBCT,SBGL,interregional,voo de Sul para Sudeste com 268 operações em jan/2026,0.1787
SBCT,SBGO,interregional,voo de Sul para Centro-Oeste com 1 operação em jan/2026,1.4427
SBCT,SBGR,interregional,voo de Sul para Sudeste com 451 operações em jan/2026,0.1636
SBCT,SBKP,interregional,voo de Sul para Sudeste com 200 operações em jan/2026,0.1886
SBCT,SBLO,intrarregional,voo dentro da região Sul com 30 operações em jan/2026,0.2912
SBCT,SBMG,intrarregional,voo dentro da região Sul com 48 operações em jan/2026,0.2569
SBCT,SBMO,interregional,voo de Sul para Nordeste com 5 operações em jan/2026,0.5581
SBCT,SBPA,intrarregional,voo dentro da região Sul com 159 operações em jan/2026,0.197
SBCT,SBPO,interregional,voo de Sul para Centro-Oeste com 13 operações em jan/2026,0.3789
SBCT,SBRF,interregional,voo de Sul para Nordeste com 9 operações em jan/2026,0.4343
SBCT,SBRP,interregional,voo de Sul para Sudeste com 2 operações em jan/2026,0.9102
SBCT,SBSP,interregional,voo de Sul para Sudeste com 484 operações em jan/2026,0.1617
SBCT,SBSV,interregional,voo de Sul para Nordeste com 21 operações em jan/2026,0.3235
SBCT,SBVT,interregional,voo de Sul para Sudeste com 1 operação em jan/2026,1.4427
SBCT,SSGY,intrarregional,voo dentro da região Sul com 14 operações em jan/2026,0.3693
SBCT,SSUM,intrarregional,voo dentro da região Sul com 5 operações em jan/2026,0.5581
SBCT,SSUV,intrarregional,voo dentro da região Sul com 14 operações em jan/2026,0.3693
SBCT,SSVL,interregional,voo de Sul para Centro-Oeste com 13 operações em jan/2026,0.3789
SBCX,SBGR,interregional,voo de Sul para Sudeste com 32 operações em jan/2026,0.286
SBCX,SBKP,interregional,voo de Sul para Sudeste com 30 operações em jan/2026,0.2912
SBCX,SBSP,interregional,voo de Sul para Sudeste com 31 operações em jan/2026,0.2885
SBCY,SBBR,intrarregional,voo dentro da região Centro-Oeste com 139 operações em jan/2026,0.2024
SBCY,SBBW,intrarregional,voo dentro da região Centro-Oeste com 13 operações em jan/2026,0.3789
SBCY,SBCF,interregional,voo de Centro-Oeste para Sudeste com 53 operações em jan/2026,0.2507
SBCY,SBCG,intrarregional,voo dentro da região Centro-Oeste com 1 operação em jan/2026,1.4427
SBCY,SBEG,interregional,voo de Centro-Oeste para Norte com 1 operação em jan/2026,1.4427
SBCY,SBGL,interregional,voo de Centro-Oeste para Sudeste com 31 operações em jan/2026,0.2885
SBCY,SBGO,intrarregional,voo dentro da região Centro-Oeste com 1 operação em jan/2026,1.4427
SBCY,SBGR,interregional,voo de Centro-Oeste para Sudeste com 289 operações em jan/2026,0.1764
SBCY,SBKP,interregional,voo de Centro-Oeste para Sudeste com 139 operações em jan/2026,0.2024
SBCY,SBPV,interregional,voo de Centro-Oeste para Norte com 20 operações em jan/2026,0.3285
SBCY,SBSI,intrarregional,voo dentro da região Centro-Oeste com 27 operações em jan/2026,0.3001
SBCY,SBSO,interregional,voo de Centro-Oeste para Sul com 25 operações em jan/2026,0.3069
SBCY,SBSP,interregional,voo de Centro-Oeste para Sudeste com 99 operações em jan/2026,0.2171
SBCY,SBSR,interregional,voo de Centro-Oeste para Sudeste com 5 operações em jan/2026,0.5581
SBCY,SBSV,interregional,voo de Centro-Oeste para Nordeste com 7 operações em jan/2026,0.4809
SBCY,SSOU,intrarregional,voo dentro da região Centro-Oeste com 21 operações em jan/2026,0.3235
SBCZ,SBRB,intrarregional,voo dentro da região Norte com 17 operações em jan/2026,0.346
SBDB,SBGR,interregional,voo de Centro-Oeste para Sudeste com 9 operações em jan/2026,0.4343
SBDB,SBKP,interregional,voo de Centro-Oeste para Sudeste com 13 operações em jan/2026,0.3789
SBDB,SBRP,interregional,voo de Centro-Oeste para Sudeste com 1 operação em jan/2026,1.4427
SBDB,SBSP,interregional,voo de Centro-Oeste para Sudeste com 14 operações em jan/2026,0.3693
SBDN,SBKP,intrarregional,voo dentro da região Sudeste com 61 operações em jan/2026,0.2423
SBDN,SBMG,interregional,voo de Sudeste para Sul com 1 operação em jan/2026,1.4427
SBDN,SBMO,interregional,voo de Sudeste para Nordeste com 9 operações em jan/2026,0.4343
SBDN,SBPS,interregional,voo de Sudeste para Nordeste com 9 operações em jan/2026,0.4343
SBDN,SBSG,interregional,voo de Sudeste para Nordeste com 9 operações em jan/2026,0.4343
SBDN,SBSP,intrarregional,voo dentro da região Sudeste com 26 operações em jan/2026,0.3034
SBDN,SBSR,intrarregional,voo dentro da região Sudeste com 1 operação em jan/2026,1.4427
SBDO,SBGR,interregional,voo de Centro-Oeste para Sudeste com 14 operações em jan/2026,0.3693
SBEG,SBBE,intrarregional,voo dentro da região Norte com 73 operações em jan/2026,0.2323
SBEG,SBBR,interregional,voo de Norte para Centro-Oeste com 144 operações em jan/2026,0.2009
SBEG,SBBV,intrarregional,voo dentro da região Norte com 31 operações em jan/2026,0.2885
SBEG,SBCF,interregional,voo de Norte para Sudeste com 63 operações em jan/2026,0.2404
SBEG,SBCT,interregional,voo de Norte para Sul com 1 operação em jan/2026,1.4427
SBEG,SBFZ,interregional,voo de Norte para Nordeste com 60 operações em jan/2026,0.2433
SBEG,SBGL,interregional,voo de Norte para Sudeste com 40 operações em jan/2026,0.2693
SBEG,SBGR,interregional,voo de Norte para Sudeste com 204 operações em jan/2026,0.1879
SBEG,SBIH,intrarregional,voo dentro da região Norte com 13 operações em jan/2026,0.3789
SBEG,SBKP,interregional,voo de Norte para Sudeste com 111 operações em jan/2026,0.2119
SBEG,SBMY,intrarregional,voo dentro da região Norte com 10 operações em jan/2026,0.417
SBEG,SBPJ,intrarregional,voo dentro da região Norte com 1 operação em jan/2026,1.4427
SBEG,SBPV,intrarregional,voo dentro da região Norte com 42 operações em jan/2026,0.2659
SBEG,SBRB,intrarregional,voo dentro da região Norte com 13 operações em jan/2026,0.3789
SBEG,SBRF,interregional,voo de Norte para Nordeste com 57 operações em jan/2026,0.2463
SBEG,SBSN,intrarregional,voo dentro da região Norte com 56 operações em jan/2026,0.2473
SBEG,SBTB,intrarregional,voo dentro da região Norte com 5 operações em jan/2026,0.5581
SBEG,SBTF,intrarregional,voo dentro da região Norte com 13 operações em jan/2026,0.3789
SBEG,SBTT,intrarregional,voo dentro da região Norte com 48 operações em jan/2026,0.2569
SBEG,SBUA,intrarregional,voo dentro da região Norte com 13 operações em jan/2026,0.3789
SBEG,SBUY,interregional,voo de Norte para Sul com 40 operações em jan/2026,0.2693
SBEG,SWBC,intrarregional,voo dentro da região Norte com 18 operações em jan/2026,0.3396
SBEG,SWLB,intrarregional,voo dentro da região Norte com 9 operações em jan/2026,0.4343
SBEG,SWMW,intrarregional,voo dentro da região Norte com 8 operações em jan/2026,0.4551
SBEG,SWPI,intrarregional,voo dentro da região Norte com 18 operações em jan/2026,0.3396
SBEG,SWYN,intrarregional,voo dentro da região Norte com 9 operações em jan/2026,0.4343
SBFI,SBBR,interregional,voo de Sul para Centro-Oeste com 31 operações em jan/2026,0.2885
SBFI,SBCF,interregional,voo de Sul para Sudeste com 14 operações em jan/2026,0.3693
SBFI,SBCT,intrarregional,voo dentro da região Sul com 115 operações em jan/2026,0.2104
SBFI,SBFZ,interregional,voo de Sul para Nordeste com 5 operações em jan/2026,0.5581
SBFI,SBGL,interregional,voo de Sul para Sudeste com 156 operações em jan/2026,0.1978
SBFI,SBGR,interregional,voo de Sul para Sudeste com 213 operações em jan/2026,0.1864
SBFI,SBKP,interregional,voo de Sul para Sudeste com 85 operações em jan/2026,0.2245
SBFI,SBRF,interregional,voo de Sul para Nordeste com 9 operações em jan/2026,0.4343
SBFI,SBSP,interregional,voo de Sul para Sudeste com 189 operações em jan/2026,0.1906
SBFI,SBVT,interregional,voo de Sul para Sudeste com 2 operações em jan/2026,0.9102
SBFL,SBBR,interregional,voo de Sul para Centro-Oeste com 92 operações em jan/2026,0.2206
SBFL,SBCF,interregional,voo de Sul para Sudeste com 57 operações em jan/2026,0.2463
SBFL,SBCH,intrarregional,voo dentro da região Sul com 43 operações em jan/2026,0.2643
SBFL,SBFI,intrarregional,voo dentro da região Sul com 1 operação em jan/2026,1.4427
SBFL,SBGL,interregional,voo de Sul para Sudeste com 179 operações em jan/2026,0.1926
SBFL,SBGR,interregional,voo de Sul para Sudeste com 309 operações em jan/2026,0.1743
SBFL,SBJV,intrarregional,voo dentro da região Sul com 1 operação em jan/2026,1.4427
SBFL,SBKP,interregional,voo de Sul para Sudeste com 131 operações em jan/2026,0.2048
SBFL,SBPA,intrarregional,voo dentro da região Sul com 32 operações em jan/2026,0.286
SBFL,SBPS,interregional,voo de Sul para Nordeste com 1 operação em jan/2026,1.4427
SBFL,SBRF,interregional,voo de Sul para Nordeste com 10 operações em jan/2026,0.417
SBFL,SBSP,interregional,voo de Sul para Sudeste com 422 operações em jan/2026,0.1654
SBFL,SBUL,interregional,voo de Sul para Sudeste com 1 operação em jan/2026,1.4427
SBFN,SBGR,interregional,voo de Nordeste para Sudeste com 40 operações em jan/2026,0.2693
SBFN,SBRF,intrarregional,voo dentro da região Nordeste com 100 operações em jan/2026,0.2167
SBFZ,SBBE,interregional,voo de Nordeste para Norte com 115 operações em jan/2026,0.2104
SBFZ,SBBR,interregional,voo de Nordeste para Centro-Oeste com 168 operações em jan/2026,0.1949
SBFZ,SBCF,interregional,voo de Nordeste para Sudeste com 84 operações em jan/2026,0.2251
SBFZ,SBEG,interregional,voo de Nordeste para Norte com 60 operações em jan/2026,0.2433
SBFZ,SBFI,interregional,voo de Nordeste para Sul com 5 operações em jan/2026,0.5581
SBFZ,SBGL,interregional,voo de Nordeste para Sudeste com 228 operações em jan/2026,0.184
SBFZ,SBGR,interregional,voo de Nordeste para Sudeste com 378 operações em jan/2026,0.1684
SBFZ,SBJU,intrarregional,voo dentro da região Nordeste com 31 operações em jan/2026,0.2885
SBFZ,SBKP,interregional,voo de Nordeste para Sudeste com 72 operações em jan/2026,0.2331
SBFZ,SBPB,intrarregional,voo dentro da região Nordeste com 12 operações em jan/2026,0.3899
SBFZ,SBRF,intrarregional,voo dentro da região Nordeste com 209 operações em jan/2026,0.187
SBFZ,SBRP,interregional,voo de Nordeste para Sudeste com 4 operações em jan/2026,0.6213
SBFZ,SBSG,intrarregional,voo dentro da região Nordeste com 31 operações em jan/2026,0.2885
SBFZ,SBSJ,interregional,voo de Nordeste para Sudeste com 1 operação em jan/2026,1.4427
SBFZ,SBSL,intrarregional,voo dentro da região Nordeste com 45 operações em jan/2026,0.2612
SBFZ,SBSP,interregional,voo de Nordeste para Sudeste com 250 operações em jan/2026,0.181
SBFZ,SBSR,interregional,voo de Nordeste para Sudeste com 5 operações em jan/2026,0.5581
SBFZ,SBSV,intrarregional,voo dentro da região Nordeste com 125 operações em jan/2026,0.2068
SBFZ,SBTE,intrarregional,voo dentro da região Nordeste com 49 operações em jan/2026,0.2556
SBFZ,SBUL,interregional,voo de Nordeste para Sudeste com 9 operações em jan/2026,0.4343
SBFZ,SBVT,interregional,voo de Nordeste para Sudeste com 1 operação em jan/2026,1.4427
SBGL,SBAR,interregional,voo de Sudeste para Nordeste com 48 operações em jan/2026,0.2569
SBGL,SBBE,interregional,voo de Sudeste para Norte com 62 operações em jan/2026,0.2414
SBGL,SBBR,interregional,voo de Sudeste para Centro-Oeste com 191 operações em jan/2026,0.1902
